"Rank","Player","Age","Tm","G","Team Wins","Overall Seed","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","VORP","BPM","G-Unadjusted","Wins-Unadjusted","WS-Unadjusted","VORP-Unadjusted","Total Games"
"1","Nikola Jokić","26","DEN","82","48.809523809524","8","35.8","27.1","11.2","8.6","1.6","0.6","0.569","0.425","0.866","18.938095238095","0.31","10.347619047619","11.9","42","25","9.7","5.3","42"
"2","Joel Embiid","27","PHI","59.116279069767","57.209302325581","1","32.6","29.9","11.5","3.3","1.2","1.4","0.525","0.422","0.859","11.823255813953","0.294","5.1488372093023","8.6","31","30","6.2","2.7","43"
"3","Giannis Antetokounmpo","26","MIL","80","54","7","34.2","29","11.7","6.4","1.2","1.3","0.562","0.299","0.679","14.2","0.25","13.2","11.5","40","27","7.1","6.6","41"
"4","James Harden","31","BRK","70.558139534884","55.302325581395","3","37.9","25.3","8","11.1","1.2","0.8","0.47","0.367","0.866","11.823255813953","0.211","5.7209302325581","6.5","37","29","6.2","3","43"
"5","Damian Lillard","30","POR","80.047619047619","48.809523809524","9","36","30.3","4.4","7.6","0.9","0.2","0.455","0.383","0.94","13.080952380952","0.217","6.052380952381","6.3","41","25","6.7","3.1","42"
"6","LeBron James","36","LAL","78.186046511628","53.395348837209","4","33.9","25.4","7.9","7.9","1","0.6","0.513","0.368","0.703","10.86976744186","0.199","6.4837209302326","7.8","41","28","5.7","3.4","43"
"7","Luka Dončić","22","DAL","76","44","11","35.4","29","8.4","9.2","1","0.6","0.484","0.371","0.75","10.2","0.181","6.6","7.7","38","22","5.1","3.3","41"
"8","Kawhi Leonard","29","LAC","66.744186046512","51.488372093023","6","34.5","26","6.3","4.9","1.7","0.5","0.511","0.385","0.87","11.251162790698","0.233","4.7674418604651","6.3","35","27","5.9","2.5","43"
"9","Kyrie Irving","28","BRK","59.116279069767","55.302325581395","3","35.6","28.1","4.8","5.7","1.2","0.6","0.52","0.406","0.891","8.5813953488372","0.195","3.6232558139535","4.9","31","29","4.5","1.9","43"
"10","Rudy Gobert","28","UTA","82","60","2","31","14.4","13.5","1.3","0.5","2.8","0.641","0","0.596","11.6","0.22","3.6","3.5","41","30","5.8","1.8","41"
